College Name,State,District/City,Departments,Department Count
"Abasaheb Garware Institute of Management Studies, S. T. Stand Road, Khanbag, Sangli",Maharashtra,Sangli,Management,1
"Abasaheb Marathe Arts & New Commerce, Science College, Rajapur",Maharashtra,Ratnagiri,Arts; Commerce; Science,3
Abasaheb Parvekar Mv. Yavatmal,Maharashtra,Yavatmal,Arts; Commerce; Science,3
"Abdul Razzak Quadri Institute Of Pg Studies In Education And Research, Place- Khultabad / Verul, Taluka - Khultabad",Maharashtra,Aurangabad,Education,1
Abhay Shikshan Kendras Kranti Jyoti Savitri Bai Phule College of Education B.Ed.,Maharashtra,Mumbai,Education,1
Abhay Shikshan Kendras Rajarshi Shahu College of Law,Maharashtra,Mumbai,Law,1
"Abhinav College of Education, Barshi Road",Maharashtra,Hingoli,Education,1
"Abhinav Education Society Abhinav Education Society's College Of Computer Science & Management(B.Sc.Computer Science,B.B.A.,B.C.A)",Maharashtra,Pune,BSc,1
"Abhinav Education society College of Engineering and Technology (Diploma), Wadwadi, Tal. Khandala",Maharashtra,Pune,Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Information Technology; Mechanical Engineering,6
Abhinav Education Society Institute of Management & Research.,Maharashtra,Pune,MCA,1
"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Maharashtra,Pune,Engineering/BTech,1
"Abhinav Shetkari Shikshan Mandals Abhinav College of Arts, Commerce & Science, B.Sc. (IT), B.M.M., B.Lib., B.Com (A & F), B.Com. (FM",Maharashtra,Thane,Arts; B.Sc; Commerce; Science,4
"Achara College of Management Studies, Achara",Maharashtra,Sindhudurg,Management,1
"Acharya Jawadekar Shikshanshastra Mahavidyalaya, GARGOTI-416 209 Dist:Kolhapur",Maharashtra,Kolhapur,Education,1
"Acharya Shrimannarayan Polytechnic, Pimpri-Wardha",Maharashtra,Pune,Civil and Rural Engineering; Mechanical Engineering,2
Achievers Night College of Commerce & Management,Maharashtra,Thane,Commerce; Management,2
"Adarsh Arts, Commerce And Science College, Dhavada, Place- Valsavangi,Taluka - Bhokardan",Maharashtra,Jalna,Arts; Commerce; Science,3
"Adarsh College Of Arts, Commerce And Science,Rajur(Ganpati), Taluka - Bhokardan",Maharashtra,Jalna,Arts; Commerce; Science,3
"Adarsh College Of Computer Science And Management, Bhokardan Road, Place- Jafrabad, Taluka - Jafrabad",Maharashtra,Jalna,Computer Science; Management; Science,3
"Adarsh College Omerga Tq.Omerga, Dist. Osmanabad.",Maharashtra,Osmanabad,Arts; Commerce; Science,3
"Adarsh College,VITA – 415 311 Tal :Khanapur,Dist-Sangli",Maharashtra,Sangli,Arts; BCA; Commerce; Science,4
"Adarsh Polytechnic, Dhule",Maharashtra,Dhule,Civil Engineering; Electrical Engineering; Mechanical Engineering,3
Adarsh Shiksan Mandal Ideal College of Pharmacy & Research,Maharashtra,Thane,Pharmacy,1
"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Dharashiv",Maharashtra,Osmanabad,Civil Engineering; Computer Science and Engineering; Electrical and Electronics Engineering; Electronics and Telecommunication Engg; Mechanical Engineering,5
"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",Maharashtra,Osmanabad,Engineering/BTech,1
"Adarsh Shikshan Prasarak Mandals, K. T. Patil College Of Education, Place-Osmanabad, Taluka - Osmanabad",Maharashtra,Osmanabad,Education,1
"Adarsh Shikshan Prasarak Mandals, K. T. Patil College Of M. B. A, Place-Osmanabad, Taluka - Osmanabad",Maharashtra,Osmanabad,MBA,1
"Adarsh Shikshan Prasark Mandal Shri. Bapusaheb D.D. Vispute B.Ed. College, New Panvel",Maharashtra,Raigad,Education,1
"Adarsh Shikshan Sansthas, Women College Of Education, Place- Beed City",Maharashtra,Beed,Education,1
"Adarsh Vidya Prasarak Santhas Adarsh College of Arts & Commerce, Badlapur",Maharashtra,Thane,Arts; Commerce,2
"Adarsha Bahuuddeshiya Shikshan Prasarak Mandal, Dr. R . N. Lahoti Polytechnic, Sultanpur",Maharashtra,Buldhana,Computer Technology; Information Technology,2
"Adarsha Edu. Society's Arts Commerce & Science College, Hingoli Dist. Hingoli",Maharashtra,Hingoli,Arts; Commerce; Science,3
Adarsha Mv. Dhamangaon Rly.,Maharashtra,Amravati,Arts; BCA; Commerce; Science,4
"Adarsha Science, Jairamdas Bhagchand Arts & Birla Commerce Mv., Dhamangaon Rly.",Maharashtra,Amravati,Arts; Commerce; Science,3
"Adhyapak Mahavidyalay, Bharne",Maharashtra,Ratnagiri,Education,1
"Aditiya Coll of Computer & Information Technology, Selu Dist. Parbhani",Maharashtra,Parbhani,Information Technology,1
Aditya Architecture College,Maharashtra,Mumbai,Architecture,1
"Aditya Bahuddeshiya Sanstha, Aditya Polytechnic, Beed",Maharashtra,Beed,Computer Science and Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Information Technology; Mechanical Engineering,5
Aditya College of Architecture,Maharashtra,Mumbai,Architecture,1
"Aditya College Of M. B. A. , Beed",Maharashtra,Beed,MBA,1
"Aditya Education Societys, Aditya College Of Education, Place- Beed City, Taluka - Beed",Maharashtra,Beed,Education,1
"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed",Maharashtra,Beed,Civil Engineering; Computer Science and Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Engineering/BTech; Information Technology; Mechanical Engineering,7
Aditya Engineering College,Maharashtra,Beed,Engineering,1
"Aditya Engineering College , Beed",Maharashtra,Beed,Engineering/BTech,1
Aditya Institute of Management Studies and Research,Maharashtra,Mumbai,Management,1
"Aditya Pharmacy College, Place- Beed City, Taluka - Beed",Maharashtra,Beed,Pharmacy,1
"Adivasi Seva Samiti Nasik Arts, Comers & Science College Manur",Maharashtra,Nashik,BSc,1
"Adsul's Technical Campus, Chas Dist. Ahmednagar",Maharashtra,Ahmednagar,Engineering/BTech,1
"Adv. Datta Patil College of Law, Alibag",Maharashtra,Raigad,Law,1
"Adv. R.Rathi Law Mv., Washim",Maharashtra,Washim,Law,1
"Advanced Computer College, Osmanabad.",Maharashtra,Osmanabad,B.Sc Computer Science; BBA; BCA; Information Technology,4
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Maharashtra,Thane,Engineering/BTech,1
"Agnel Polytechnic (Fr. Agnel Charities) , Vashi, Navi Mumbai",Maharashtra,Thane,Artificial Intelligence; Automobile Engineering; Civil Engineering; Electronics and Computer Engineering; Mechanical Engineering,5
"Agricultural Development Trust Sharadabai Pawar Mahila Arts, Commerce and Science College",Maharashtra,Pune,BSc; MCA,2
"AGS College of Education, Boisar",Maharashtra,Palghar,Education,1
"Ahilyadevi Mahavidyalaya, Jalkot Tq. Jalkot Dist. Latur",Maharashtra,Hingoli,Arts; Commerce; Science,3
"Ahinsa Institute of Technology, Post. Dondaicha, Dist.Dhule",Maharashtra,Dhule,Civil Engineering; Computer Technology; Electrical Engineering; Electronics and Telecommunication Engg; Mechanical Engineering,5
"Ahmadnagar Jilha Maratha Vidya Prasarak Samaj (AJMVPS) Institutions, Ahmednagar",Maharashtra,Ahmednagar,Arts; B.Sc. Computer Science; BCA; Civil Engineering; Commerce and Science; Computer Engineering; Engineering/BTech; MBA (IT); Mechanical Engineering,9
Ahmadnagar Jilha Maratha Vidya Prasarak Samaj Hutatma Karveer Chatrapati Chauthe Shivaji Maharaj Institute of Management Research and Rural Development,Maharashtra,Ahmednagar,MBA (IT),1
Ahmadnagar Jilha Maratha Vidya Prasarak Samaj New Arts Commerce and Science College,Maharashtra,Ahmednagar,BSc; MCA,2
Ahmadnagar Jilha Maratha Vidya Prasarak Samaj Rajarshi Shahu Mahavidyalay,Maharashtra,Ahmednagar,BSc; MCA,2
Ahmadnagar Jilha Maratha Vidya Prasarak Samaj Shri Dhokeshwar Mahavidyalaya,Maharashtra,Ahmednagar,BSc,1
"Ahmednagar Jilha Maratha Vidya Prasarak Samaj ,Ahmednagar Shri Mulikadevi Mahavidyalay Nighoj",Maharashtra,Ahmednagar,BSc,1
"Ahmednagar Jilha Maratha Vidya Prasarak Samaj New Arts, Commerce And Science College",Maharashtra,Ahmednagar,BSc; MCA,2
"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Maharashtra,Ahmednagar,Civil Engineering; Computer Engineering; Engineering/BTech,3
"Ajara Mahavidyalaya, AJARA-416 505 Tal:Ajara, Dist: Kolhapur",Maharashtra,Kolhapur,Arts; Commerce; Computer Applications; Education; Science,5
"Ajeenkya DY Patil School of Engineering, Lohegaon, Pune",Maharashtra,Pune,Artificial Intelligence; Artificial Intelligence (AI) and Machine Learning; Automobile Engineering; Biomedical Engineering; Civil Engineering; Computer Engineering; Engineering/BTech; Mechanical Engineering,8
"Akbar College of Education, Vashi",Maharashtra,Thane,Education,1
"Akhil Bharatiya Maratha Shikshan Parishad, Pune Anantrao Pawar College of Engineering & Research",Maharashtra,Pune,MCA,1
"Akole Taluka Education Society Agasti Arts, Commerce and Dadasaheb Rupwate Science College",Maharashtra,Ahmednagar,BSc,1
"Akole Taluka Education Society Agasti Institute of Management, Compute Application and Research",Maharashtra,Ahmednagar,MCA,1
"Akole Taluka Education Society's Faculty of Polytechnic, Akole",Maharashtra,Ahmednagar,Civil Engineering; Computer Engineering; Electronics and Telecommunication Engg; Mechanical Engineering,4
"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima",Maharashtra,Satara,Engineering/BTech,1
Alard Charitable Trust Alard Institute of Management Sciences,Maharashtra,Pune,MCA,1
"Alard Charitable Trust's Alard College of Engineering and Management, Pune",Maharashtra,Pune,Engineering/BTech,1
"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",Maharashtra,Palghar,Civil Engineering; Computer Engineering; Engineering/BTech; Information Technology; Mechanical Engineering,5
Aldel Education Trust's St. John College of Humanities and Sciences,Maharashtra,Palghar,Education,1
Ali Yavar Jung National Institute of Speech and Hearing Disabilities,Maharashtra,Mumbai,Audiology and Speech-Language Pathology; Special Education (Hearing Impairment),2
All India Khilafat Committee College of Education,Maharashtra,Mumbai,Education,1
"All India Shri Shivaji Memorial Society (AISSMS), Pune",Maharashtra,Pune,Artificial Intelligence (AI) and Machine Learning; Automobile Engineering; Chemical Engineering; Civil Engineering; Computer Engineering; Electronics and Telecommunication Engg; Engineering/BTech; Information Technology; Mechanical Engineering; Production Engineering,10
"All India Shri Shivaji Memorial Society's College of Engineering, Pune",Maharashtra,Pune,Engineering/BTech,1
"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune",Maharashtra,Pune,Engineering/BTech,1
"All India Shri Shivaji Memorial Society's Polytechnic, Pune",Maharashtra,Pune,Artificial Intelligence; Automobile Engineering; Civil Engineering; Computer Engineering; Electronics and Telecommunication Engg; Information Technology; Mechanical Engineering,7
"Almala Prabhu College of Pharmacy, Latur , Tq.Dist. Latur",Maharashtra,Hingoli,Pharmacy,1
"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur",Maharashtra,Nagpur,Civil Engineering; Electrical Engineering; Engineering/BTech; Mechanical Engineering,4
Amdar Daulat Daroda College of Science,Maharashtra,Palghar,Science,1
"Amolakchand Mv., Yavatmal",Maharashtra,Yavatmal,Arts; Commerce; Law; Management; Mass Communication and Journalism; Science,6
Amolakchand Vidhi Mv. Yavatmal,Maharashtra,Yavatmal,Law,1
