College Name,State,District/City,Departments,Department Count
"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",Maharashtra,Thane,Engineering/BTech,1
"Fabtech Technical Campus College of Engineering and Research, Sangola",Maharashtra,Solapur,Artificial Intelligence and Machine Learning; Civil Engineering; Computer Science and Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Engineering/BTech; Mechanical Engineering,7
"Father Agnel Technical College (Polytechnic), Bandra(W), Mumbai",Maharashtra,Mumbai,Production Engineering,1
FINOLEX ACADEMY OF MANAGEMENT & TECHNOLOGY,Maharashtra,Ratnagiri,Management,1
"Finolex Academy of Management and Technology (FAMT), Ratnagiri",Maharashtra,Ratnagiri,Artificial Intelligence and Machine Learning; Chemical Engineering; Computer Science and Engineering; Electrical Engineering; Electronics and Telecommunication; Engineering/BTech; Information Technology; MCA; Mechanical Engineering,9
Foster Development School Of Management.,Maharashtra,Aurangabad,Management,1
"Foster Developments College Of Education, Place- Garkheda Parisar, Taluka - Aurangabad City",Maharashtra,Aurangabad,Education,1
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Maharashtra,Mumbai,Engineering/BTech,1
Fr. Conceicao Rodrigues Engineering College,Maharashtra,Mumbai,Engineering,1
Fr.C. Rodrigues Institute of Management Studies,Maharashtra,Thane,Management,1
"Fr.C. Rodrigues Institute of Technology, Vashi",Maharashtra,Thane,Computer Engineering; Electrical Engineering; Electronics and Telecommunication Engineering; Information Technology; Mechanical Engineering,5
"G H Raisoni Institute of Engineering and Business Management, Jalgaon",Maharashtra,Jalgaon,Engineering/BTech,1
G M Vedak College of Science,Maharashtra,Raigad,Science,1
"G. H. Raisoni College of Engineering & Management, Nagpur",Maharashtra,Nagpur,Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Mechanical Engineering,5
"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Maharashtra,Aurangabad,Engineering/BTech,1
"G.B. & Tatyasaheb Khare Commerce, Parvatibai Gurupad Dhere Arts College and Shri. Mahesh Janardhan Bhosle Science College, Guhagar",Maharashtra,Ratnagiri,Arts; Commerce; Science,3
"G.B. Murarka Mv., Shegaon",Maharashtra,Buldhana,Arts; Commerce,2
G.D. Ambekar Pratishthan College of Management & Technology,Maharashtra,Mumbai,Management,1
"G.Gawande Mv., Umarkhed",Maharashtra,Yavatmal,Arts; BBA; BCA; Commerce; Science,5
G.H. Raisoni Education And Medical Foundation G.H. Raisoni College of Arts Commerce and Science,Maharashtra,Pune,BSc; MCA,2
G.H. Raisoni Educational and Medical Foundation G.H. Raisoni College of Engineering and Management,Maharashtra,Pune,MCA,1
G.H. Raisoni Educational And Medical Foundation G.H. Raisoni Institute of Management and Research,Maharashtra,Pune,MCA,1
"G.H. Raisoni Group of Institutions (GHRCE, GHRIET, GHRCCST), Nagpur / Pune",Maharashtra,Nagpur,Artificial Intelligence & Data Science; Civil Engineering; Computer Engineering; Computer Science and Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Engineering/BTech; MBA (IT); MCA; Mechanical Engineering,10
"G.H.Raisoni College of Engineering & Management, Wagholi, Pune",Maharashtra,Pune,Engineering/BTech,1
"G.K.S College of Arts, Commerce & Science",Maharashtra,Thane,Arts; Commerce; Science,3
G.M. Momin Womans College,Maharashtra,Thane,Arts; Commerce; Information Technology; Management; Science,5
"G.M. Vedak Institute of Technology,Tala",Maharashtra,Raigad,Civil Engineering; Computer Engineering; Electronics and Telecommunication Engineering; Information Technology; Mechanical Engineering,5
"G.M.Vedak Institute of Technology, Tala, Raigad.",Maharashtra,Raigad,Engineering/BTech,1
"G.R. Patil College of Arts, Science and Commerce & B.M.S., Mumbra",Maharashtra,Thane,Arts; Commerce; Science,3
"G.R. Patil College of Science & Commerce, Ambernath",Maharashtra,Thane,Commerce; Science,2
"G.S. Gawande Mv., Umarkhed",Maharashtra,Yavatmal,Arts; BBA; BCA; Commerce; Science,5
"G.S. Tompe Arts, Commerce & Science MV., Chandur Bz.",Maharashtra,Amravati,Arts; Commerce; Science,3
"G.S. Tompe Mv., Chandur Bz",Maharashtra,Amravati,Arts; Commerce; Education; Pharmacy; Science,5
"G.S.Science , Arts & Commerce Mv., Khamgaon",Maharashtra,Buldhana,Arts; Commerce; Science,3
"G.S.Science, Arts & Comm College, Khamgaon",Maharashtra,Buldhana,Arts; Science,2
"G.V. Acharya Institute of Engineering & Technology , Karjat",Maharashtra,Raigad,Engineering,1
Gahlot Institute of Management Studies & Research,Maharashtra,Thane,Management,1
"Gahlot Institute of Pharmacy, Navi Mumbai",Maharashtra,Thane,Pharmacy,1
"Gajanan Arts And Science College, Place- Sillod City, Taluka - Sillod",Maharashtra,Aurangabad,Arts; Science,2
Gajananrao Pandurang Patil College of Arts & Science (IT),Maharashtra,Thane,Arts; Science,2
"Gandhi Shikshan Bhavans, Smt. Surajba College of Education",Maharashtra,Mumbai,Education,1
"Ganpatrao Arwade College of Commerce,SANGLI-416 416",Maharashtra,Sangli,Commerce,1
Gargi Education Institute GARGI AGRICULTURE RESEARCH AND TRAINING INSTITUTE,Maharashtra,Nashik,BSc; MCA,2
"Gauri Shankar Education & Charitable Trust’s Gauri Shankar Institute of Management Sciences, Limb, Satara.",Maharashtra,Satara,Education; Management,2
"Genba Sopanrao Moze College of Engineering & Parvatibai Moze COE, Pune",Maharashtra,Pune,Artificial Intelligence and Data Science; Civil Engineering; Computer Engineering; Electronics and Telecommunication Engg; Engineering/BTech; Information Technology; MCA; Mechanical Engineering,8
"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune",Maharashtra,Pune,Engineering/BTech,1
Genba Sopanrao Moze Trust Genba Sopanrao Moze Art's Commerce and Science (B.C.S.) College,Maharashtra,Pune,BSc,1
Genba Sopanrao Moze Trust Paravatibai Genba Moze College Engineering,Maharashtra,Pune,BSc; MCA,2
"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Maharashtra,Pune,Engineering/BTech,1
"Genba Sopanrao Moze Trust's, Genba Sopanrao Moze College of Engineering Genba Sopanrao Moze College Of Engineering",Maharashtra,Pune,BSc; MCA,2
Ghanshyamdas Jalan Women Degree College,Maharashtra,Mumbai,Arts; Commerce; Science,3
Ghanshyamdas Saraf College of Arts & Commerce,Maharashtra,Mumbai,Arts; Commerce,2
"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Maharashtra,Ratnagiri,Artificial Intelligence and Data Science; Chemical Engineering; Civil Engineering; Computer Engineering; Engineering/BTech; Mechanical Engineering,6
"Gharda Institute Of Technology Lavel, Khed",Maharashtra,Pune,Artificial Intelligence and Machine Learning; Chemical Engineering; Civil Engineering; Computer Engineering; Electronics and Telecommunication Engineering; MCA; Mechanical Engineering,7
Ghulab Nabi Azad Social Work Mv. Pusad,Maharashtra,Yavatmal,Social Work,1
"Ghulam Nabi Azad arts, Commerce & Science Mv. Barshitakl",Maharashtra,Solapur,Arts; Commerce; Science,3
"Giristhan Arts and Commerce College, MAHABALESHWAR -412 806 Tal-Mahabaleshwar, Dist-Satara",Maharashtra,Satara,Arts; Commerce,2
"Girivasi Seva Mandals Murlidhar Nanaji Mohite Guruji Arts, Commerce & BMS College",Maharashtra,Palghar,Arts; Commerce,2
"Gitai Institute Of Management, Bidkin, Place- Bidkin, Taluka - Paithan",Maharashtra,Aurangabad,Management,1
"Globle B.C.A. College, Kingaon Tq.Ahemadpur Dist. Latur",Maharashtra,Hingoli,BCA,1
GNVS Institute of Management,Maharashtra,Mumbai,Management,1
"Godavari Foundation's Godavari College Of Engineering, Jalgaon",Maharashtra,Jalgaon,Artificial Intelligence; Computer Engineering; Computer Science and Engineering; Electrical Engineering; Electronics and Computer Engineering; Engineering/BTech; Mechanical Engineering,7
"Godavari Shikshan Mandal G.D. Sawant Arts, Science & Commerece College",Maharashtra,Nashik,BSc; MCA,2
Godawari Arts Senior College Ambad Dist. Jalna,Maharashtra,Jalna,Arts,1
"Gokhale Education Society Arts, Science and Commerce College, Shriwardhan",Maharashtra,Raigad,Arts; Commerce; Education; Science,4
"Gokhale Education Society Gokhale Education Society's R. H. Sapat College of Engineering, Management Studies & Research",Maharashtra,Nashik,MCA,1
Gokhale Education Society H.A.L. College of Science & Commerce,Maharashtra,Nashik,BSc; MCA,2
Gokhale Education Society H.P.T. Arts and R.Y.K. Science College,Maharashtra,Nashik,BSc; MCA,2
Gokhale Education Society J.D.C. Bytco Institute Of Management Studies and Research,Maharashtra,Nashik,PG Diploma,1
"Gokhale Education Society RNC, JDB Commerce College and NSC Science",Maharashtra,Nashik,BSc; MCA,2
"Gokhale Education Society's Sir Dr.M.S.Gosavi Polytechnic Institute, Nashik Road",Maharashtra,Nashik,Civil Engineering; Computer Engineering; Electrical Engineering; Mechanical Engineering,4
"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",Maharashtra,Nashik,Engineering/BTech,1
"Gokhale Education Society, College of Education And Research",Maharashtra,Mumbai,Education,1
"Gokhale Education Society, Katgara Polytechnic Institute, Bordi.",Maharashtra,Palghar,Civil Engineering; Computer Engineering; Electrical Engineering; Mechanical Engineering,4
"Gokhale Education Societys Arts, Commerce and Science College, Jawhar",Maharashtra,Palghar,Arts; Commerce; Education; Science,4
"Gokhale Education Societys Shri Bhausaheb Vartak Arts, Commerce & Science College & Sheth Kanji V. Parekh Arts & Commerce Junior College",Maharashtra,Mumbai,Arts; Commerce; Education; Science,4
"Gokulnath Arts, Commerce and Science Senior College, Pingli,Tq. Parbhani, Dist. Parbhani",Maharashtra,Parbhani,Arts; Commerce; Science,3
"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara",Maharashtra,Bhandara,Engineering/BTech,1
"Goodwill International Foundations, Shree Jaya Anand Commerce & Science Senior College (night)",Maharashtra,Thane,Commerce; Science,2
"Gopal Education Soceity's Shri Mukundrao Pannase Polytechnic, Mauza Mondha",Maharashtra,Nagpur,Computer Technology; Electronics Engineering; Mechanical Engineering,3
"Gopal Krishna Gokhale College, Subhash Road, KOLHAPUR-416 012",Maharashtra,Kolhapur,Arts; BBA; BCA; Science,4
Government College Of ArtsAnd Design,Maharashtra,Aurangabad,Fine Arts,1
"Government College of Education, Panvel",Maharashtra,Raigad,Education,1
"Government College of Education, Parbhani Dist. Parbhani",Maharashtra,Parbhani,Education,1
"Government College Of Education, Place- Ambajogai City, Taluka -Ambajogai",Maharashtra,Beed,Education,1
"Government College of Education, Ratnagiri",Maharashtra,Ratnagiri,Education,1
"Government College of Engineering & Research, Avasari Khurd",Maharashtra,Pune,Engineering/BTech,1
"Government College of Engineering, Amravati",Maharashtra,Amravati,Civil Engineering; Computer Science and Engineering; Electrical Engineering; Electronics and Telecommunication; Engineering/BTech; Information Technology; Instrumentation Engineering; Mechanical Engineering,8
"Government College of Engineering, Aurangabad",Maharashtra,Aurangabad,Civil Engineering; Computer Science and Engineering; Electrical Engineering; Electronics and Telecommunication; Engineering/BTech; Information Technology; MCA; Mechanical Engineering,8
"Government College of Engineering, Chandrapur",Maharashtra,Chandrapur,Civil Engineering; Computer Science and Engineering; Electrical Engineering; Engineering/BTech; Instrumentation Engineering; Mechanical Engineering; Mining Engineering,7
"Government College of Engineering, Jalgaon",Maharashtra,Jalgaon,Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication; Engineering/BTech; Instrumentation Engineering; Mechanical Engineering,7
"Government College of Engineering, Karad",Maharashtra,Satara,Civil Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Engineering/BTech; Information Technology; MCA; Mechanical Engineering,7
"Government College of Engineering, Kolhapur",Maharashtra,Kolhapur,Engineering/BTech,1
"Government College of Engineering, Nagpur",Maharashtra,Nagpur,Civil Engineering; Computer Science and Engineering; Electrical Engineering; Electronics and Telecommunication; Engineering/BTech; Mechanical Engineering,6
"Government College of Engineering, Ratnagiri",Maharashtra,Ratnagiri,Engineering/BTech,1
"Government College of Engineering,KARAD-415 110 Tal:Karad Dist:Satara(Autonomous from 2015-16)",Maharashtra,Satara,Engineering,1
"Government College of Engineering,Yavatmal",Maharashtra,Yavatmal,Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication; Engineering/BTech; Mechanical Engineering,6
"Government College Of Pharmacy, Aurangabad.",Maharashtra,Aurangabad,Pharmacy,1
"Government Institute of Printing Technology, Mumbai",Maharashtra,Mumbai,Printing Technology,1
"Government Law College, Churchgate",Maharashtra,Mumbai,Law,1
"Government Nyay Sahayaka Vidnyaan Sanstha, Place- Aurangabad City (Municipal Corp. Area) , Taluka - Aurangabad City",Maharashtra,Aurangabad,Forensic Science,1
"Government Polytechnic , Achalpur",Maharashtra,Amravati,Civil Engineering; Computer Engineering; Electronics and Telecommunication Engg; Mechanical Engineering,4
Government Polytechnic Gondia,Maharashtra,Gondia,Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Information Technology; Mechanical Engineering,6
"Government Polytechnic, Ahmednagar",Maharashtra,Ahmednagar,Civil Engineering; Computer Engineering; Computer Technology; Electrical Engineering; Electronics and Telecommunication Engg; Instrumentation Engineering; Mechanical Engineering; Production Engineering,8
"Government Polytechnic, Ambad",Maharashtra,Jalna,Artificial Intelligence; Civil Engineering; Computer Engineering; Electrical Engineering; Electronics Engineering; Information Technology; Mechanical Engineering,7
"Government Polytechnic, Amravati",Maharashtra,Amravati,Chemical Engineering; Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Information Technology; Mechanical Engineering; Plastic and Polymer Engineering,8
"Government Polytechnic, Arvi",Maharashtra,Wardha,Chemical Engineering; Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Communication Engineering; Mechanical Engineering,6
"Government Polytechnic, Aurangabad",Maharashtra,Aurangabad,Artificial Intelligence; Artificial Intelligence (AI) and Machine Learning; Automobile Engineering; Civil Engineering; Computer Engineering; Dress Designing and Garment Manufacturing; Electrical Engineering; Electronics and Telecommunication Engg; Information Technology; Mechanical Engineering,10
"Government Polytechnic, Awasari (khurd)",Maharashtra,Pune,Automobile Engineering; Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Information Technology; Mechanical Engineering,7
"Government Polytechnic, Beed",Maharashtra,Beed,Civil Engineering; Computer Technology; Electrical Engineering; Electronics and Communication Engineering; Mechanical Engineering; Printing Technology,6
"Government Polytechnic, Bramhapuri",Maharashtra,Chandrapur,Civil Engineering; Computer Technology; Electrical Engineering; Mechanical Engineering; Mechatronics; Mining Engineering,6
"Government Polytechnic, Gadchiroli",Maharashtra,Gadchiroli,Civil Engineering; Computer Engineering; Electrical Engineering; Mechanical Engineering,4
"Government Polytechnic, Hingoli",Maharashtra,Hingoli,Computer Engineering; Electronics and Telecommunication Engg; Mechanical Engineering,3
"Government Polytechnic, Jalgaon",Maharashtra,Jalgaon,Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Engineering/BTech; Information Technology; Mechanical Engineering,7
"Government Polytechnic, Jalna",Maharashtra,Jalna,Chemical Engineering; Civil Engineering; Computer Engineering; Electrical Engineering; Mechanical Engineering,5
"Government Polytechnic, Jintur",Maharashtra,Parbhani,Civil Engineering; Computer Engineering; Mechanical Engineering,3
"Government Polytechnic, Karad",Maharashtra,Satara,Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Engineering/BTech; Instrumentation Engineering; MCA; Mechanical Engineering; Mechatronics,9
"Government Polytechnic, Khamgaon",Maharashtra,Buldhana,Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Communication Engineering; Mechanical Engineering,5
"Government Polytechnic, Kolhapur",Maharashtra,Kolhapur,Civil Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Engineering/BTech; Information Technology; Mechanical Engineering; Metallurgical Engineering,7
"Government Polytechnic, Malvan",Maharashtra,Sindhudurg,Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Communication Engineering; Food Technology; Mechanical Engineering,6
"Government Polytechnic, Miraj",Maharashtra,Sangli,Civil Engineering; Computer Engineering; Mechanical Engineering; Medical Electronics; Polymer Technology,5
"Government Polytechnic, Mumbai",Maharashtra,Mumbai,Artificial Intelligence; Artificial Intelligence (AI) and Machine Learning; Civil Engineering; Computer Engineering; Electrical Engineering; Electronics Engineering; Information Technology; Instrumentation Engineering; Leather Goods and Footwear Technology; Leather Technology; Mechanical Engineering; Rubber Technology,12
"Government Polytechnic, Murtijapur",Maharashtra,Akola,Civil Engineering; Computer Engineering; Electrical Engineering; Information Technology,4
"Government Polytechnic, Nanded",Maharashtra,Nanded,Civil Engineering; Electrical Engineering; Information Technology; Mechanical Engineering; Medical Electronics; Production Engineering,6
"Government Polytechnic, Nandurbar",Maharashtra,Nandurbar,Civil Engineering; Computer Engineering; Electrical Engineering; Mechanical Engineering,4
"Government Polytechnic, Nashik",Maharashtra,Nashik,Automobile Engineering; Civil Engineering; Computer Technology; Dress Designing and Garment Manufacturing; Electrical Engineering; Electronics and Telecommunication Engg; Information Technology; Interior Design; Mechanical Engineering; Mechatronics; Polymer Technology,11
"Government Polytechnic, Osmanabad",Maharashtra,Osmanabad,Automobile Engineering; Civil Engineering; Computer Engineering; Dress Designing and Garment Manufacturing; Electrical Engineering; Electronics and Telecommunication Engg; Mechanical Engineering,7
"Government Polytechnic, Pen",Maharashtra,Raigad,Chemical Engineering; Civil Engineering; Computer Technology; Instrumentation and Control Engineering; Mechanical Engineering,5
"Government Polytechnic, Pune",Maharashtra,Pune,Civil Engineering; Computer Engineering; Dress Designing and Garment Manufacturing; Electrical Engineering; Electronics and Telecommunication Engg; Engineering/BTech; Information Technology; Mechanical Engineering; Metallurgical Engineering,9
"Government Polytechnic, Ratnagiri",Maharashtra,Ratnagiri,Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Engineering/BTech; Mechanical Engineering; Mechatronics,7
"Government Polytechnic, Sadar, Nagpur",Maharashtra,Nagpur,Artificial Intelligence; Artificial Intelligence (AI) and Machine Learning; Automobile Engineering; Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Information Technology; Mechanical Engineering; Mechatronics; Metallurgical Engineering; Mining and Mine Surveying; Packaging Technology; Textile Manufactures; Travel and Tourism,15
"Government Polytechnic, Sakoli",Maharashtra,Bhandara,Civil Engineering; Computer Technology; Electrical Engineering; Electronics and Telecommunication Engg; Mechanical Engineering,5
"Government Polytechnic, Solapur",Maharashtra,Solapur,Civil Engineering; Computer Technology; Electrical Engineering; Electronics and Telecommunication Engg; Information Technology; Mechanical Engineering,6
"Government Polytechnic, Thane",Maharashtra,Thane,Chemical Engineering; Civil Engineering; Computer Engineering; Information Technology; Mechanical Engineering; Travel and Tourism,6
"Government Polytechnic, Vikramgad.",Maharashtra,Palghar,Civil Engineering; Computer Engineering; Electrical Engineering; Mechanical Engineering,4
"Government Polytechnic, Washim",Maharashtra,Washim,Automobile Engineering; Civil Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Information Technology; Mechanical Engineering,6
"Government Polytechnic, Yavatmal",Maharashtra,Yavatmal,Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Engineering/BTech; Mechanical Engineering,6
"Government Residence Women Polytechnic, Tasgaon",Maharashtra,Sangli,Civil Engineering; Computer Engineering; Dress Designing and Garment Manufacturing; Electrical Engineering; Electronics and Telecommunication Engg; Information Technology,6
"Government Residential Women's Polytechnic, Latur",Maharashtra,Latur,Civil Engineering; Computer Engineering; Dress Designing and Garment Manufacturing; Electronics and Communication Engineering; Medical Electronics,5
"Government Science College, Nipatniranjan Road, Place- Aurangabad City (Municipal Corp. Area) , Taluka - Aurangabad City",Maharashtra,Aurangabad,Science,1
"Govindlal Kanhaiyalal Joshi (Night) Commerce College,Near Rajashthan School, Latur Dist. Latur",Maharashtra,Hingoli,Commerce,1
"Govt College of Education, Buldana",Maharashtra,Buldhana,Education,1
"Govt Vidarbha Institute of Science & Humanities, Amravati",Maharashtra,Amravati,Science,1
"Govt Vidarbha Institute of Science and Humanities, Amravati",Maharashtra,Amravati,Science,1
"Govt. College Of Arts & Science, Place- Aurangabad City (Municipal Corp. Area) ,Taluka - Aurangabad City",Maharashtra,Aurangabad,Arts; Science,2
"Govt. College of Education, Akola",Maharashtra,Akola,Education,1
"Govt. College Of Education, Place- Aurangabad City (Municipal Corp. Area) , Taluka - Aurangabad City",Maharashtra,Aurangabad,Education,1
"Govt. College of Engg., Amravati",Maharashtra,Amravati,Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication Engineering; Information Technology; Instrumentation Engineering; Mechanical Engineering,7
"Govt. College of Pharmacy, Amravati",Maharashtra,Amravati,Pharmacy,1
"Govt. College of Pharmacy, KARAD-415 110 Tal: Karad, Dist: Satara",Maharashtra,Satara,Pharmacy,1
"Govt. Eng. College, Place- Aurangabad City (Municipal Corp. Area) , Taluka - Aurangabad City",Maharashtra,Aurangabad,Civil Engineering; Computer Science Engineering (AI & ML); Computer Science Engineering (Data Science); Electrical Engineering; Electronics and Communication Engineering; Mechanical Engineering,6
"Gramin Shikshan Sansthas Arts, Commerce & Science College",Maharashtra,Thane,Arts; Commerce; Science,3
GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,Maharashtra,Nanded,Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Engineering/BTech; Information Technology; Mechanical Engineering; Medical Laboratory Technology,8
"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad",Maharashtra,Aurangabad,Artificial Intelligence; Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Computer Engineering; Mechanical Engineering; Mechatronics,7
"Gramodyogik Shikshan Mandal's Marathwada Institute Of Technology, Rotegaon, Vaijapur, Dist. Aurangabad.",Maharashtra,Aurangabad,Agricultural Engineering; Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Mechanical Engineering,6
"GRANTABLE B.ED.COLLEGESShri Maharani Tarabai Government College of Education, Shahupuri, KOLHAPUR-416 002",Maharashtra,Kolhapur,Education,1
"Gulab Nabi Azad Mv., Barshitakli",Maharashtra,Solapur,Arts; Commerce; Science,3
"Gulabrao Patil Shikshanshastra Mahavidyalaya, 795, Budhagaonkar Mala, Near Shaskiya Dudha Dairy, Miraj – 416 410, Tal.Miraj, Dist.Sangli.",Maharashtra,Sangli,Education,1
"Gunai Shikshan Prasarak Mandal, Rajiv Gandhi Polytechnic, Udgir, Dist Latur",Maharashtra,Latur,Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Mechanical Engineering,5
"Guru Gobind Singh College of Engineering & Research Centre, Nashik.",Maharashtra,Nashik,Engineering/BTech,1
"Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic, Nashik",Maharashtra,Nashik,Civil Engineering; Computer Engineering; Electrical Engineering; Electronics and Telecommunication Engg; Mechanical Engineering; Mechatronics,6
Guru Krupa College of Education & Research,Maharashtra,Thane,Education,1
"Guru Nanak College of Arts, Science & Commerce",Maharashtra,Mumbai,Arts; Commerce; Science,3
"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",Maharashtra,Nagpur,Engineering/BTech,1
Guru Nanak Institute of Management Studies,Maharashtra,Mumbai,Management,1
"Gurukul College Of Computer Science, Gurukul Nagar, Place- Beed City, Taluka - Beed",Maharashtra,Beed,Computer Science; Science,2
"Gurukul Education Society's Institute of Engineering & Technology, Nandgaon",Maharashtra,Nashik,Civil Engineering; Computer Engineering; Electrical Engineering; Mechanical Engineering,4
"Gurukul Institute of Technology, Kshirsagar, Bhokardan",Maharashtra,Jalna,Civil Engineering; Computer Engineering; Computer Technology; Electronics and Telecommunication Engg; Mechanical Engineering,5
"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",Maharashtra,Nagpur,Engineering/BTech,1
"Guruvandan Mahila Kalyankari Bahuuddeshiya Mandal's Guru Sai Polytechnic College, Mauza Datala, Chandrapur",Maharashtra,Chandrapur,Civil Engineering; Computer Engineering; Electrical Engineering; Mechanical Engineering; Mining and Mine Surveying,5
Gyanoday B.Sc (IT) College,Maharashtra,Thane,B.Sc,1
Gyanodaya B.Ed. College,Maharashtra,Thane,Education,1
"H. B. Arts, Commerce And Science College, Pishor, Place- Pishor, Taluka - Kannad",Maharashtra,Aurangabad,Arts; Commerce; Science,3
"H. J. Thim Trusts, Theem College of Engineering, Boisar",Maharashtra,Palghar,Engineering,1
"H.K. College of Pharmacy, Oshiwara",Maharashtra,Mumbai,Pharmacy,1
H.K.Institute of Management Studies & Research,Maharashtra,Mumbai,Management,1
H.R. College of Commerce & Economics,Maharashtra,Mumbai,Commerce,1
"H.V.P.M.Degree College of Physical Education, Amravati",Maharashtra,Amravati,Education; Physical Education,2
"H.V.P.M.’s Degree College of Physical Education, Amravati",Maharashtra,Amravati,Education; Physical Education,2
"H.V.P.M’s. College of Engg., Amravati",Maharashtra,Amravati,Computer Science Engineering; Electronics and Telecommunication Engineering; Information Technology; MBA; MCA; Mechanical Engineering,6
H.V.S.K.M. Physcial Edu.MV. Yavatmal,Maharashtra,Yavatmal,Physical Education,1
Habib College of Commerce,Maharashtra,Mumbai,Commerce,1
"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar",Maharashtra,Palghar,Artificial Intelligence; Civil Engineering; Computer Engineering; Electrical Engineering; Engineering/BTech; Mechanical Engineering,6
Haji Janaluddin Thim Trust Thim College,Maharashtra,Thane,Automobile Engineering; Civil Engineering; Computer Science Engineering; Electrical Engineering; Electronics Engineering; Information Technology; Mechanical Engineering,7
Hansraj Jivandas College of Education (H.J. College of Education),Maharashtra,Mumbai,Education,1
"Haribhai Warpudkar B.B.A. B.Sc., B.J. College, Vasmat Road, Parbhani Dist. Parbhani",Maharashtra,Parbhani,B.Sc,1
Hashmatrai & Gangaram Himathmal Mansukhani Institute of Management,Maharashtra,Thane,Management,1
Hi-Tech College Of Management & Computer Science,Maharashtra,Aurangabad,Computer Science; Management; Science,3
"Hi-Tech Institute of Technology, Aurangabad",Maharashtra,Aurangabad,Engineering/BTech,1
"Hi-Tech Institute Of Technology, Place- Aurangabad City (Municipal Corp. Area) , Taluka - Aurangabad City",Maharashtra,Aurangabad,BBA; BCA; Civil Engineering; Computer Science Engineering; Computer Science Engineering (AI & ML); Mechanical Engineering,6
Hind Seva Mandal Pemraj Sarda College,Maharashtra,Ahmednagar,BSc,1
Hind Seva Parishads Public Night Degree College,Maharashtra,Mumbai,Commerce; Information Technology; Management,3
"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal",Maharashtra,Jalgaon,Computer Engineering; Computer Science and Engineering; Electrical Engineering; Electronics and Computer Engineering; Engineering/BTech,5
Hindi Vidya Prachar Samitis College of Law,Maharashtra,Mumbai,Law,1
"Hindi Vidya Prachar Samitis, Ramniranjan Jhunjhunwala College",Maharashtra,Mumbai,Arts; Commerce; Management; Science,4
"Hindu Samaj Sansthas,Bhausaheb Deshpande College Of Biotechnology, Place- Jalna City (Municipal Corp. Area), Taluka - Jalna",Maharashtra,Jalna,Bioinformatics; Biotechnology,2
Hindustan Education Society's Azad Sr. College Ausa ( Education) Dist. Latur,Maharashtra,Hingoli,Education,1
Hindustan Education Society's M.Ed College Ausa Dist. Latur,Maharashtra,Hingoli,Education,1
"Hindustani Education Society, N.B.S. Institute Of Polytechnic, Ausa, Latur",Maharashtra,Latur,Civil Engineering; Computer Engineering; Electrical Engineering; Mechanical Engineering,4
Hirwal Education Trust College of Computer Science and Information Technology,Maharashtra,Mumbai,Computer Science; Education; Information Technology; Science,4
